#, Name, Team,Total,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,Gender
93,Essie Barker,Pioma,60,,31,,,,,,,,,29,,Bot
94,Brian Waters,,59,24,,,,,,,35,,,,,Bot
95,Geoffrey Wallace,True Form,59,13,,,,,,,46,,,,,Bot
96,Luka Koskinen,Monova,59,,,,,,30,,,,,29,,Bot
97,Freeman Miranda,Fable,58,,,22,,,,,,,,36,,Bot
98,Lilian Barahona,,58,,47,,,,,11,,,,,,Bot
99,Diana Formenta,,57,,,,,34,,23,,,,,,Bot
100,Peter Galloway,YES,57,,11,,,,,46,,,,,,Bot
101,Derek Labelle,Fable,55,,,,,31,,,,,,24,,Bot
102,Alfredo Herrero,,54,,,,54,,,,,,,,,Bot
103,Changxiao Yen,eVOX,54,,,,,25,29,,,,,,,Bot
104,Haneul Eom,YES,54,,,,,,54,,,,,,,Bot
105,Jamil Ali,,54,,,,,,,20,34,,,,,Bot
106,Javier Roman,,54,,,,,,,,,54,,,,Bot
107,Jordan Wagner,,54,,,,,,,,,54,,,,Bot
108,Kaspar Niskanen,,54,,,,24,,,,,,,30,,Bot
109,Marie Holm,,54,54,,,,,,,,,,,,Bot
110,Roman Law,,54,,54,,,,,,,,,,,Bot
111,Rosa Leclerc,Aguda,54,44,,,,,,10,,,,,,Bot
112,Simo Kallio,,54,,,,54,,,,,,,,,Bot
113,Thomas Hwells,,54,,,,,,,,,,,54,,Bot
114,Thomas Legrand,Saitama,54,,,,,54,,,,,,,,Bot
115,Tom Murphy,,54,,,,,,,54,,,,,,Bot
116,Vladimir Yatsko,Zonkify,54,,,,,,54,,,,,,,Bot
117,William Bean,,54,,,,,,,,,,,54,,Bot
118,Adam Willems,,53,,,,,,,53,,,,,,Bot
119,Anaïs Gérard,Formix,53,6,,21,,,,,,,26,,,Bot
120,Brandi Erickson,,53,,,,,,,,,,,53,,Bot
121,Carlos Augusto,Fujikai,53,18,,,,,,,35,,,,,Bot
122,Effie Hunter,,53,53,,,,,,,,,,,,Bot
123,Fynn De,Krowen,53,,,53,,,,,,,,,,Bot
124,Roderick Malone,Fiber Shot,53,,,,,53,,,,,,,,Bot
125,Romain Fontaine,,53,,,53,,,,,,,,,,Bot
126,Werner Bauer,,53,,,,,,,,,53,,,,Bot
127,Anne Waters,Patriot,52,52,,,,,,,,,,,,Bot
128,Anton Lehmann,Saint,52,,,,,,,,,,,52,,Bot
129,Azra Özer,Sherpa,52,52,,,,,,,,,,,,Bot
130,Dennis Reyes,Windsail,52,,,,,,52,,,,,,,Bot
131,Felix Neumann,,52,,,,,,,,,52,,,,Bot
132,Filip Pankow,,52,,,,,,,52,,,,,,Bot
133,Hyunok Ae,,52,,52,,,,,,,,,,,Bot
134,Ivory Garcia,,52,,,,,,,52,,,,,,Bot
135,Nadirah Nasir,,52,,27,,25,,,,,,,,,Bot
136,Nikola Kubiczky,Hinal,52,,,,,,,,,52,,,,Bot
137,Pierre Raymond,,52,,,,52,,,,,,,,,Bot
138,Raina Golub,Systech,52,,,,52,,,,,,,,,Bot
139,Sven Öberg,AMO Solutions,52,,,,,,52,,,,,,,Bot
140,Théo Collard,Ampex,52,,,,,,,,,,,52,,Bot
141,Alia Iqbal,Aria Olefson,51,,,,,,51,,,,,,,Bot
142,Boyd Soto,Delta,51,,,,51,,,,,,,,,Bot
143,Colette Blanchard,Krowen,51,,,,51,,,,,,,,,Bot
144,Cosimo Fiore,Pioma,51,,,,,,51,,,,,,,Bot
145,Ejnar Bentsen,Systech,51,,,,,,,,,51,,,,Bot
146,Fioretta Riva,,51,51,,,,,,,,,,,,Bot
147,Gregor Lorenz,,51,,,,,,,,51,,,,,Bot
148,Ki Ham,,51,,,51,,,,,,,,,,Bot
149,Klaus König,Delta,51,,,,,,,,,,51,,,Bot
150,Major Conway,Capital,51,,,,,,,,51,,,,,Bot
151,Oliver Glover,,51,,,51,,,,,,,,,,Bot
152,Pauli Aalto,,51,,,,,,,51,,,,,,Bot
153,Daeho Ri,,50,,,,,,,50,,,,,,Bot
154,Elsa Macias,Orbit,50,,50,,,,,,,,,,,Bot
155,Emilie Lambert,Patriot,50,50,,,,,,,,,,,,Bot
156,Fanqia Lim,Aguda,50,20,,,,,,,,,30,,,Bot
157,Gustavo Cantu,,50,,,,,,,,,50,,,,Bot
158,Jochen Richter,,50,,,50,,,,,,,,,,Bot
159,Leticia Ramos,,50,50,,,,,,,,,,,,Bot
160,Matthias Schmidt,,50,,,20,,,,30,,,,,,Bot
161,Pekka Seppänen,Douvan,50,,,,,,50,,,,,,,Bot
162,Stefan Rataj,,50,,,50,,,,,,,,,,Bot
163,Audrey Bourgeois,Titans,49,,,,,,,,,,49,,,Bot
164,Ayame Taniguchi,,49,,,,,,,49,,,,,,Bot
165,Bashir Abdulla,Zonkify,49,,,,,,,,49,,,,,Bot
166,Frank Haas,,49,,,,,,49,,,,,,,Bot
167,Gladis Rivera,,49,,,,,,,,,49,,,,Bot
168,Ivanka Pjanić,,49,,,,,49,,,,,,,,Bot
169,Iwa Tanaka,,49,49,,,,,,,,,,,,Bot
170,José Mendes,,49,,,,,,,,49,,,,,Bot
171,Kenneth Nyaga,,49,,,,,,,,,49,,,,Bot
172,Kigongo Kiyemba,,49,,,,,,,,,,,49,,Bot
173,Lenny Aerts,Systech,49,,,,,,49,,,,,,,Bot
174,Michelle Noel,,49,49,,,,,,,,,,,,Bot
175,Roland Andre,,49,,,25,24,,,,,,,,,Bot
176,Zichen Tow,,49,,,,,,,49,,,,,,Bot
177,Abdul Kurniawan,Aguda,48,,,,,,,,,,,48,,Bot
178,Barry Fortier,,48,,,,,,48,,,,,,,Bot
179,Chrysoula Arvanitis,,48,48,,,,,,,,,,,,Bot
180,Deena Davis,,48,,32,,,,,8,8,,,,,Bot
181,Eetu Saarinen,,48,,,,,48,,,,,,,,Bot
182,Emiliano Sala,,48,,,,,,,,48,,,,,Bot
183,Frank Fortin,,48,,,,,,48,,,,,,,Bot
184,Haruka Takahashi,eVOX,48,,,48,,,,,,,,,,Bot
185,Laura Baranowska,,48,48,,,,,,,,,,,,Bot
186,Lavi Robin,YES,48,,,,,,,,,48,,,,Bot
187,Maksim Gavrilov,,48,,,,,,,,,,,48,,Bot
188,Mubarak Al-Naqbi,AMO Solutions,48,,,,,,,,48,,,,,Bot
189,Odell Hartman,Fable,48,,,48,,,,,,,,,,Bot
190,Stine Eskildsen,,48,,,,,,,,,48,,,,Bot
191,Stuart Esquivel,,48,,,,,,,,,,48,,,Bot
192,Ashot Petrosyan,Dashix,47,,,,,,,,47,,,,,Bot
193,Beverley Trejo,Systech,47,47,,,,,,,,,,,,Bot
194,Chinedu Adeyemi,YES,47,,,,,,,,47,,,,,Bot
195,Francisco Santamaria,,47,9,8,,30,,,,,,,,,Bot
196,Galileo Mancini,Monova,47,,,,,,,,,47,,,,Bot
197,Isabel Fuentes,,47,,,34,,,,,,,13,,,Bot
198,Isamu Noguchi,,47,,,47,,,,,,,,,,Bot
199,Joo Jeom,,47,,,,,,,,,,,47,,Bot
200,Jose Rodriguez,,47,,26,,,,,21,,,,,,Bot
201,Juana Manzano,,47,,,,,47,,,,,,,,Bot
202,Luca Brogi,Heat,47,47,,,,,,,,,,,,Bot
203,Marc Schouten,Aspire,47,,,,,,47,,,,,,,Bot
204,Roger Moreau,,47,,,,,,47,,,,,,,Bot
205,Silvio Langer,,47,,,,47,,,,,,,,,Bot
206,Sophie Kavanagh,Titans,47,,,,47,,,,,,,,,Bot
207,Ton Van der Linden,Eckleson,47,,,,,,,,,,,47,,Bot
208,Arvid Nilsson,Heat,46,,,,46,,,,,,,,,Bot
209,Catrin Evans,Saitama,46,46,,,,,,,,,,,,Bot
210,Gisele Lavoie,Delta,46,,,,,46,,,,,,,,Bot
211,Igor Kuchar,,46,,,,46,,,,,,,,,Bot
212,Iwi Ahu,,46,,,,,,46,,,,,,,Bot
213,Lupe Romero,Optech,46,,,,,,,,,,,46,,Bot
214,Nick Poirier,Hector,46,,,46,,,,,,,,,,Bot
215,Noor Backer,Patriot,46,46,,,,,,,,,,,,Bot
216,Rayan Laurent,Formix,46,3,,,43,,,,,,,,,Bot
217,Roland Caron,AI Thunder,46,,,,,,,,,,,46,,Bot
218,Rosa Croes,,46,,,,,,46,,,,,,,Bot
219,Sofia Smyth,,46,,46,,,,,,,,,,,Bot
220,Antony Preston,,45,,,,45,,,,,,,,,Bot
221,Cecilia Ibrahim,,45,45,,,,,,,,,,,,Bot
222,Cecilia Messina,,45,,45,,,,,,,,,,,Bot
223,Christine Beck,,45,,,,,,45,,,,,,,Bot
224,Céline Thomas,AMO Solutions,45,,,,45,,,,,,,,,Bot
225,Eirik Nilsen,,45,,,,,,,45,,,,,,Bot
226,Franklin Hood,eVOX,45,,,,,45,,,,,,,,Bot
227,Harold Stanton,Monova,45,,,,,,,,,,,45,,Bot
228,Kholoud Rana,Optech,45,,,,,,45,,,,,,,Bot
229,Lea Schulz,Meisterkuhl,45,,,45,,,,,,,,,,Bot
230,Lucas Lemaire,,45,,,,,,,,45,,,,,Bot
231,Luis Rodríguez,Zonkify,45,,,,,,24,,21,,,,,Bot
232,Mario Lehmann,Aspire,45,45,,,,,,,,,,,,Bot
233,Marthe Lemoine,Krowen,45,,,,,,,,,,,45,,Bot
234,Ramon Torres,,45,,,,,,,,,45,,,,Bot
235,Rita Joshi,,45,,,,,,,45,,,,,,Bot
236,Ronald Hendriks,Systech,45,,,,,,,,,23,,22,,Bot
237,Viliami Lausii,,45,,,,,,,,,,45,,,Bot
238,Abhinav Khadka,,44,,,,,,,44,,,,,,Bot
239,Angela Clarke,,44,,,,,,44,,,,,,,Bot
240,Bayani Reyes,Titans,44,,,,,,,,44,,,,,Bot
241,Betty Hughes,,44,,,,,,44,,,,,,,Bot
242,Brandon Barrera,Nuvio,44,,,11,,,,,,33,,,,Bot
243,Can Yılmaz,Windsail,44,,,44,,,,,,,,,,Bot
244,Chad Maynard,Dashix,44,,,,,,,,,44,,,,Bot
245,Gianni de,YES,44,,,44,,,,,,,,,,Bot
246,Kareem Oconnor,Orbit,44,,,,,44,,,,,,,,Bot
247,Kazuyuki Kikuchi,,44,,,,44,,,,,,,,,Bot
248,Octavio Morales,,44,,,,,,,,,,,44,,Bot
249,Ove Jonsson,,44,,,,,,,,,,44,,,Bot
250,Sachiko Maeda,,44,,44,,,,,,,,,,,Bot
251,Tangi Matapo,Krowen,44,,,,,,44,,,,,,,Bot
252,Vicky Kalsakau,,44,44,,,,,,,,,,,,Bot
253,Yehuda Tzur,,44,3,,,,,,,41,,,,,Bot
254,Aleksandra Kovalik,,43,43,,,,,,,,,,,,Bot
255,Anastasia Crawford,,43,,,,,,43,,,,,,,Bot
256,André Diogo,,43,,,,,,,,,,43,,,Bot
257,Branko Kaniuk,AMO Solutions,43,,,,,43,,,,,,,,Bot
258,Elijah Oconnor,,43,43,,,,,,,,,,,,Bot
259,Fetu Vaha'akolo,Optech,43,,,43,,,,,,,,,,Bot
260,Jeremy Rollins,Eckleson,43,,,,,,,43,,,,,,Bot
261,Jody Rush,Nuvio,43,,,,43,,,,,,,,,Bot
262,Lowell Knox,,43,,,,43,,,,,,,,,Bot
263,Milo Salonen,Roklit,43,,,,,,,,,,,43,,Bot
264,Nicos Demetriou,,43,,,,,,43,,,,,,,Bot
265,Seung Hyeong,Fable,43,,,,,,,43,,,,,,Bot
266,Tad Velasquez,,43,,,,,,,,43,,,,,Bot
267,Walter Pratt,,43,0,,,,,43,,,,,,,Bot
268,Alana Sampaio,Formix,42,,,,,,,42,,,,,,Bot
269,Antonia Lozano,Douvan,42,,,,,,42,,,,,,,Bot
270,Bosco Grasso,,42,,,,,,,,,,,42,,Bot
271,Greta Ventura,Kumori,42,,,,,,42,,,,,,,Bot
272,Inge Van der Berg,,42,,,42,,,,,,,,,,Bot
273,Isabel Cortes,,42,,,,,,,,,,,42,,Bot
274,Jimmi Jakobsen,,42,,,,,,,42,,,,,,Bot
275,Junpei Kudō,,42,,15,,,,,,27,,,,,Bot
276,Jóhanna Jakobsen,,42,,,,,,,,,42,,,,Bot
277,Konrad Kołodziej,,42,42,,,,,,,,,,,,Bot
278,Lissi Munch,,42,42,,,,,,,,,,,,Bot
279,Manuel Schäfer,,42,,,,,,,,42,,,,,Bot
280,Maria Ortega,Orbit,42,,,42,,,,,,,,,,Bot
281,Per Strand,Nitro,42,,42,,,,,,,,,,,Bot
282,Robert Dudley,Saitama,42,,,16,,26,,,,,,,,Bot
283,Sajjad Yusoff,Nuvio,42,10,,,,,32,,,,,,,Bot
284,Sarah Zammit,Hector,42,,,,,,30,12,,,,,,Bot
285,Sascha Brandt,Aspire,42,,,,42,,,,,,,,,Bot
286,Simon Omondi,AMO Solutions,42,,,,42,,,,,,,,,Bot
287,Wouter Van der Meer,Nuvio,42,,,,,,,,,42,,,,Bot
288,Abigail Kumar,,41,,41,,,,,,,,,,,Bot
289,Bjørn Strand,,41,,,,,41,,,,,,,,Bot
290,David Sele,,41,,,,41,,,,,,,,,Bot
291,Insu Gal,Aguda,41,,,,41,,,,,,,,,Bot
292,Jake Doherty,,41,,,,20,,,,21,,,,,Bot
